step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,avg_vae_recon_20ep,avg_vae_kl_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,current_ep_vae_recon,current_ep_vae_kl,replay_size
11000,0.98955,5,0.0,0.24538803205677628,0.24538803205677628,0.0005560408812016248,0.0005463759996928274,0.009664897993206977,0.0,0.06901925541086414,0.06901925541086414,0.00048278021859005094,0.0004762102907989174,0.00656993268057704,11000
12000,0.9886,5,0.0,0.24538803205677628,0.24538803205677628,0.0005560408812016248,0.0005463759996928274,0.009664897993206977,0.0,0.15697661833083382,0.15697661833083382,0.0004478492774069309,0.0004413429123815149,0.006506357807666063,12000
13000,0.98765,6,0.0,0.2346754347645175,0.2346754347645175,0.0005447340615016097,0.0005355341224155078,0.009199953249966105,0.0,0.06173670559105321,0.06173670559105321,0.0005128303891979158,0.0005065058940090239,0.006324511952698231,13000
14000,0.9867,6,0.0,0.2346754347645175,0.2346754347645175,0.0005447340615016097,0.0005355341224155078,0.009199953249966105,0.0,0.1463119160401214,0.1463119160401214,0.0004551035526674241,0.0004486389516387135,0.006464600563049316,14000
15000,0.98575,7,0.0,0.2259262389516857,0.2259262389516857,0.0005479191271920822,0.0005391088447400502,0.008810297452977725,0.0,0.0547860907732181,0.0547860907732181,0.000514889950864017,0.0005085727316327393,0.006317217834293842,15000
16000,0.9848,7,0.0,0.2259262389516857,0.2259262389516857,0.0005479191271920822,0.0005391088447400502,0.008810297452977725,0.0,0.13950723395986472,0.13950723395986472,0.0004933576565235853,0.0004869856929872185,0.0063719856552779675,16000
17000,0.98385,8,0.0,0.21872230637483686,0.21872230637483686,0.0005508989015652332,0.0005424710034276359,0.008427911787293851,0.0,0.05211351044509689,0.05211351044509689,0.00041147173033095896,0.0004053977900184691,0.006073943804949522,17000
18000,0.9829,8,0.0,0.21872230637483686,0.21872230637483686,0.0005508989015652332,0.0005424710034276359,0.008427911787293851,0.0,0.12431424350915175,0.12431424350915175,0.000446262740297243,0.0004401504120323807,0.006112338975071907,18000
19000,0.98195,9,0.0,0.21168267111564026,0.21168267111564026,0.0005425738119002846,0.000534392275666404,0.008181549763927857,0.0,0.04415578952180686,0.04415578952180686,0.0004043895751237869,0.00039834584458731115,0.006043720990419388,19000
20000,0.981,9,0.0,0.21168267111564026,0.21168267111564026,0.0005425738119002846,0.000534392275666404,0.008181549763927857,0.0,0.12125595383582201,0.12125595383582201,0.0004101868253201246,0.00040460002492181957,0.005586789455264807,20000
21000,0.98005,10,0.0,0.20609418766089854,0.20609418766089854,0.0005424968141596765,0.00053458912007045,0.00790770691819489,0.0,0.04150851327850313,0.04150851327850313,0.000504828174598515,0.0004991220775991678,0.005706089548766613,21000
22000,0.9791,10,0.0,0.20609418766089854,0.20609418766089854,0.0005424968141596765,0.00053458912007045,0.00790770691819489,0.0,0.11227173623697975,0.11227173623697975,0.000495215761475265,0.00048993737436831,0.005278373137116432,22000
23000,0.97815,11,0.0,0.20088887890809295,0.20088887890809295,0.0005415052821097726,0.0005338050567925992,0.00770023808052594,0.0,0.03597488539645744,0.03597488539645744,0.0005049275932833552,0.0004998796503059566,0.005047970917075872,23000
24000,0.9772,11,0.0,0.20088887890809295,0.20088887890809295,0.0005415052821097726,0.0005338050567925992,0.00770023808052594,0.0,0.10483904589147154,0.10483904589147154,0.0004938268684782088,0.0004886422539129853,0.0051846276037395,24000
25000,0.97625,12,0.0,0.1960945941625146,0.1960945941625146,0.000539215524137641,0.000531719699210953,0.007495838566683233,0.0,0.030963596111537945,0.030963596111537945,0.00045820738887414336,0.00045339486678130925,0.004812526050955057,25000
26000,0.9753000000000001,12,0.0,0.1960945941625146,0.1960945941625146,0.000539215524137641,0.000531719699210953,0.007495838566683233,0.0,0.09997388099129258,0.09997388099129258,0.0004448331310413778,0.0004399830650072545,0.004850056953728199,26000
27000,0.97435,13,0.0,0.19155374081311263,0.19155374081311263,0.0005354244181384834,0.0005281337765224564,0.007290654887373631,0.0,0.02789546295670639,0.02789546295670639,0.000503630144521594,0.0004990106099285185,0.0046195173636078835,27000
28000,0.9734,13,0.0,0.19155374081311263,0.19155374081311263,0.0005354244181384834,0.0005281337765224564,0.007290654887373631,0.0,0.08995573008212047,0.08995573008212047,0.00044543520198203623,0.00044084872934035957,0.00458646472543478,28000
29000,0.97245,14,0.0,0.18706807874953005,0.18706807874953005,0.0005367195616210145,0.0005296366601084758,0.007082914933562279,0.0,0.023371045558779224,0.023371045558779224,0.0004904614179395139,0.00048588565550744534,0.004575738217681646,29000
30000,0.9715,14,0.0,0.18706807874953005,0.18706807874953005,0.0005367195616210145,0.0005296366601084758,0.007082914933562279,0.0,0.08490886976807499,0.08490886976807499,0.0004830962570849806,0.00047877864562906325,0.004317605867981911,30000
31000,0.97055,15,0.0,0.18291661425039532,0.18291661425039532,0.0005368080455809832,0.0005299179368497183,0.0068901216611266134,0.0,0.0203465854786485,0.0203465854786485,0.00048457144293934107,0.0004806642245966941,0.003907222766429186,31000
32000,0.9696,15,0.0,0.18291661425039532,0.18291661425039532,0.0005368080455809832,0.0005299179368497183,0.0068901216611266134,0.0,0.0797085691703737,0.0797085691703737,0.00044160152901895344,0.0004374716663733125,0.00412987545132637,32000
33000,0.96865,16,0.0,0.17903564198213284,0.17903564198213284,0.0005369593091018032,0.0005302563931763871,0.006702927246806212,0.0,0.01640972585767138,0.01640972585767138,0.00046363138244487345,0.000459889619378373,0.0037417623680084944,33000
34000,0.9677,16,0.0,0.17903564198213284,0.17903564198213284,0.0005369593091018032,0.0005302563931763871,0.006702927246806212,0.0,0.07519121128567173,0.07519121128567173,0.00045287833199836314,0.0004491323488764465,0.003745997091755271,34000
