step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_temporal_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_temporal_intr,replay_size
1000,0.99905,0,0.0,0.0,0.0,0.0,0.0,167.21075350434344,156.16037555235968,11.050377951983927,1000
2000,0.9981,0,0.0,0.0,0.0,0.0,0.0,259.1274531453184,248.0770751933345,11.050377951983927,2000
3000,0.99715,1,0.0,262.69994978851736,251.64957183653343,11.050377951983927,0.0,92.93488062413815,92.93488062413815,0.0,3000
4000,0.9962,1,0.0,262.69994978851736,251.64957183653343,11.050377951983927,0.0,161.38305441764584,161.38305441764584,0.0,4000
5000,0.99525,2,0.0,214.86897375971978,209.3437847837278,5.525188975991964,0.0,53.594172593952614,53.594172593952614,0.0,5000
6000,0.9943,2,0.0,214.86897375971978,209.3437847837278,5.525188975991964,0.0,106.79429284304851,106.79429284304851,0.0,6000
7000,0.99335,3,0.0,181.16882880007276,177.48536948274477,3.683459317327976,0.0,48.79174946082026,48.79174946082026,0.0,7000
8000,0.9924,3,0.0,181.16882880007276,177.48536948274477,3.683459317327976,0.0,96.94948847407971,96.93683600454878,0.012652469530960433,8000
9000,0.99145,4,0.0,162.18993943904135,159.42211697213276,2.7678224669086076,0.0,53.142488318068324,52.899737088428026,0.24275122964028806,9000
10000,0.9905,4,0.0,162.18993943904135,159.42211697213276,2.7678224669086076,0.0,101.50715304759552,100.97716875495881,0.5299842926366493,10000
11000,0.98955,5,0.0,152.34055025893332,150.00669650295836,2.333853755974979,0.0,33.2300305780177,33.066045533420606,0.1639850445970848,11000
12000,0.9886,5,0.0,152.34055025893332,150.00669650295836,2.333853755974979,0.0,75.14999152596499,74.40606959077014,0.7439219351948121,12000
13000,0.98765,6,0.0,141.2310226344388,139.116652177628,2.1143704568107844,0.0,48.62855656046686,48.0599912742198,0.5685652862470331,13000
14000,0.9867,6,0.0,141.2310226344388,139.116652177628,2.1143704568107844,0.0,93.7565553267803,92.17386607462801,1.5826892521522753,14000
15000,0.98575,7,0.0,136.22840959967127,134.16420000022705,2.0642095994442,0.0,26.40428433853965,26.102954774723077,0.30132956381657694,15000
16000,0.9848,7,0.0,136.22840959967127,134.16420000022705,2.0642095994442,0.0,63.566259170180196,62.99958837905659,0.5666707911235834,16000
17000,0.98385,8,0.0,128.8382999973487,126.95833862404152,1.8799613733071754,0.0,24.03950151872637,23.862862081747014,0.17663943697935575,17000
18000,0.9829,8,0.0,128.8382999973487,126.95833862404152,1.8799613733071754,0.0,59.16586400641488,58.86634489379456,0.29951911262029096,18000
19000,0.98195,9,0.0,122.63154769256246,120.91789684605838,1.7136508465040474,0.0,24.143994532314355,24.114832506994688,0.029162025319668515,19000
20000,0.981,9,0.0,122.63154769256246,120.91789684605838,1.7136508465040474,0.0,59.19598535862143,59.14221719824763,0.053768160373813115,20000
21000,0.98005,10,0.0,117.75396914940475,116.20423754994447,1.549731599460253,0.0,17.63985780548663,17.63586188803259,0.003995917454043594,21000
22000,0.9791,10,0.0,117.75396914940475,116.20423754994447,1.549731599460253,0.0,48.75282598986996,48.72953337255027,0.023292617319690925,22000
23000,0.97815,11,0.0,112.91782447542981,111.5067500860082,1.411074389421566,0.0,15.333905754217154,15.315024013688957,0.018881740528198115,23000
24000,0.9772,11,0.0,112.91782447542981,111.5067500860082,1.411074389421566,0.0,43.70274174828647,43.68386000775827,0.018881740528198115,24000
25000,0.97625,12,0.0,108.4949690171125,107.19968694083035,1.295282076282095,0.0,18.575386400549732,18.56659559001056,0.008790810539170999,25000
