step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_temporal_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_temporal_intr,replay_size
1000,0.9901,0,0.0,0.0,0.0,0.0,0.0,155.65334424432206,155.65334424432206,0.0,1000
2000,0.9802,0,0.0,0.0,0.0,0.0,0.0,246.43564686945118,246.43564686945118,0.0,2000
3000,0.9703,1,0.0,249.85963592885895,249.85963592885895,0.0,0.0,93.17927671061776,93.17927671061776,0.0,3000
4000,0.9604,1,0.0,249.85963592885895,249.85963592885895,0.0,0.0,162.57583315203252,162.57583315203252,0.0,4000
5000,0.9505,2,0.0,209.21190396294247,209.21190396294247,0.0,0.0,56.63447855836713,56.63447855836713,0.0,5000
6000,0.9406,2,0.0,209.21190396294247,209.21190396294247,0.0,0.0,110.45071162152003,110.45071162152003,0.0,6000
7000,0.9307,3,0.0,178.61867662150277,178.61867662150277,0.0,0.0,52.30990043369471,52.30990043369471,0.0,7000
8000,0.9208,3,0.0,178.61867662150277,178.61867662150277,0.0,0.0,100.20854699886557,100.20854699886557,0.0,8000
9000,0.9109,4,0.0,161.15052397972033,161.15052397972033,0.0,0.0,52.642361390620856,52.642361390620856,0.0,9000
10000,0.901,4,0.0,161.15052397972033,161.15052397972033,0.0,0.0,100.2856345393485,100.2856345393485,0.0,10000
11000,0.8911,5,0.0,151.1621967043082,151.1621967043082,0.0,0.0,34.827870126460816,34.827870126460816,0.0,11000
12000,0.8812,5,0.0,151.1621967043082,151.1621967043082,0.0,0.0,75.272699203446,75.272699203446,0.0,12000
13000,0.8713,6,0.0,140.41662896885848,140.41662896885848,0.0,0.0,48.96877433340919,48.96877433340919,0.0,13000
14000,0.8613999999999999,6,0.0,140.41662896885848,140.41662896885848,0.0,0.0,92.61518938757543,92.61518938757543,0.0,14000
15000,0.8515,7,0.0,135.36752077383207,135.36752077383207,0.0,0.0,25.888536646912783,25.888536646912783,0.0,15000
16000,0.8416,7,0.0,135.36752077383207,135.36752077383207,0.0,0.0,62.25569664560743,62.25569664560743,0.0,16000
17000,0.8317,8,0.0,127.97288500476074,127.97288500476074,0.0,0.0,24.240884244503533,24.240884244503533,0.0,17000
18000,0.8218,8,0.0,127.97288500476074,127.97288500476074,0.0,0.0,60.83004997120272,60.83004997120272,0.0,18000
19000,0.8119000000000001,9,0.0,122.08800800665534,122.08800800665534,0.0,0.0,23.831244506749336,23.831244506749336,0.0,19000
20000,0.802,9,0.0,122.08800800665534,122.08800800665534,0.0,0.0,59.229504648572835,59.229504648572835,0.0,20000
21000,0.7921,10,0.0,117.28342074517855,117.28342074517855,0.0,0.0,17.536842271902938,17.536842271902938,0.0,21000
22000,0.7822,10,0.0,117.28342074517855,117.28342074517855,0.0,0.0,49.852130561451006,49.852130561451006,0.0,22000
23000,0.7723,11,0.0,112.56081598639543,112.56081598639543,0.0,0.0,16.20375776863143,16.20375776863143,0.0,23000
24000,0.7624,11,0.0,112.56081598639543,112.56081598639543,0.0,0.0,46.389236380032635,46.389236380032635,0.0,24000
25000,0.7525,12,0.08333333333333333,108.69133792673335,108.69133792673335,0.0,0.0,20.043610425668483,20.043610425668483,0.0,25000
26000,0.7425999999999999,12,0.08333333333333333,108.69133792673335,108.69133792673335,0.0,0.0,55.15895202049698,55.15895202049698,0.0,26000
27000,0.7326999999999999,13,0.07692307692307693,105.8840726075766,105.8840726075766,0.0,0.0,12.079474974378064,12.079474974378064,0.0,27000
28000,0.7228,13,0.07692307692307693,105.8840726075766,105.8840726075766,0.0,1.0,46.21517028803334,46.21517028803334,0.0,28000
29000,0.7129000000000001,14,0.14285714285714285,102.89065975476895,102.89065975476895,0.0,0.0,13.826667522186444,13.826667522186444,0.0,29000
30000,0.7030000000000001,14,0.14285714285714285,102.89065975476895,102.89065975476895,0.0,0.0,46.543061204524676,46.543061204524676,0.0,30000
31000,0.6931,15,0.13333333333333333,100.51933188781844,100.51933188781844,0.0,0.0,9.594978910501785,9.594978910501785,0.0,31000
32000,0.6832,15,0.13333333333333333,100.51933188781844,100.51933188781844,0.0,0.0,39.717757985255126,39.717757985255126,0.0,32000
33000,0.6733,16,0.125,98.05646713660107,98.05646713660107,0.0,0.0,10.94790401196235,10.94790401196235,0.0,33000
34000,0.6634,16,0.125,98.05646713660107,98.05646713660107,0.0,0.0,46.52433411373416,46.52433411373416,0.0,34000
35000,0.6535,17,0.11764705882352941,96.30904338954679,96.30904338954679,0.0,0.0,6.4804233439577335,6.4804233439577335,0.0,35000
