step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,replay_size
1000,0.9901,0,0.0,0.0,0.0,0.0,0.2572738158696224,0.2572738158696224,1000
2000,0.9802,0,0.0,0.0,0.0,0.0,0.39150721633240304,0.39150721633240304,2000
3000,0.9703,1,0.0,0.39725913845057326,0.39725913845057326,0.0,0.10962134667677753,0.10962134667677753,3000
4000,0.9604,1,0.0,0.39725913845057326,0.39725913845057326,0.0,0.21909238793210184,0.21909238793210184,4000
5000,0.9505,2,0.0,0.3135287766025695,0.3135287766025695,0.0,0.10001893124513729,0.10001893124513729,5000
6000,0.9406,2,0.0,0.3135287766025695,0.3135287766025695,0.0,0.21137253251116642,0.21137253251116642,6000
7000,0.9307,3,0.0,0.2843295337402756,0.2843295337402756,0.0,0.09078989728095253,0.09078989728095253,7000
8000,0.9208,3,0.0,0.2843295337402756,0.2843295337402756,0.0,0.19082870455188136,0.19082870455188136,8000
9000,0.9109,4,0.0,0.2649528138899992,0.2649528138899992,0.0,0.0832224138220963,0.0832224138220963,9000
10000,0.901,4,0.0,0.2649528138899992,0.2649528138899992,0.0,0.18531361670446203,0.18531361670446203,10000
11000,0.8911,5,0.0,0.253889816501548,0.253889816501548,0.0,0.07222348388138905,0.07222348388138905,11000
12000,0.8812,5,0.0,0.253889816501548,0.253889816501548,0.0,0.16312096950341787,0.16312096950341787,12000
13000,0.8713,6,0.0,0.24291975506822872,0.24291975506822872,0.0,0.06476376340990687,0.06476376340990687,13000
14000,0.8613999999999999,6,0.0,0.24291975506822872,0.24291975506822872,0.0,0.15655175683111056,0.15655175683111056,14000
15000,0.8515,7,0.0,0.23456928957154685,0.23456928957154685,0.0,0.060063704443836796,0.060063704443836796,15000
16000,0.8416,7,0.0,0.23456928957154685,0.23456928957154685,0.0,0.1459081605335984,0.1459081605335984,16000
17000,0.8317,8,0.0,0.22706724732331862,0.22706724732331862,0.0,0.055529515954804855,0.055529515954804855,17000
18000,0.8218,8,0.0,0.22706724732331862,0.22706724732331862,0.0,0.13688938892039765,0.13688938892039765,18000
19000,0.8119000000000001,9,0.0,0.22059364580448015,0.22059364580448015,0.0,0.04692151263270076,0.04692151263270076,19000
20000,0.802,9,0.0,0.22059364580448015,0.22059364580448015,0.0,0.1248972084825696,0.1248972084825696,20000
21000,0.7921,10,0.0,0.21438932631747792,0.21438932631747792,0.0,0.03944943596366459,0.03944943596366459,21000
22000,0.7822,10,0.0,0.21438932631747792,0.21438932631747792,0.0,0.11375458044803531,0.11375458044803531,22000
23000,0.7723,11,0.0,0.20856129864444695,0.20856129864444695,0.0,0.03748203190372777,0.03748203190372777,23000
24000,0.7624,11,0.0,0.20856129864444695,0.20856129864444695,0.0,0.10816506556827656,0.10816506556827656,24000
25000,0.7525,12,0.0,0.2031825686987684,0.2031825686987684,0.0,0.03098252707975056,0.03098252707975056,25000
26000,0.7425999999999999,12,0.0,0.2031825686987684,0.2031825686987684,0.0,0.10369095871600605,0.10369095871600605,26000
27000,0.7326999999999999,13,0.0,0.19864589164710547,0.19864589164710547,0.0,0.027546457145146613,0.027546457145146613,27000
28000,0.7228,13,0.0,0.19864589164710547,0.19864589164710547,0.0,0.09272925913769602,0.09272925913769602,28000
29000,0.7129000000000001,14,0.0,0.19401623690196043,0.19401623690196043,0.0,0.022923684636743408,0.022923684636743408,29000
30000,0.7030000000000001,14,0.0,0.19401623690196043,0.19401623690196043,0.0,0.08272744675424118,0.08272744675424118,30000
31000,0.6931,15,0.0,0.18927385787800918,0.18927385787800918,0.0,0.021108553292070575,0.021108553292070575,31000
32000,0.6832,15,0.0,0.18927385787800918,0.18927385787800918,0.0,0.08321707189034208,0.08321707189034208,32000
33000,0.6733,16,0.0,0.18536619909840624,0.18536619909840624,0.0,0.0170777697698135,0.0170777697698135,33000
34000,0.6634,16,0.0,0.18536619909840624,0.18536619909840624,0.0,0.07533951931440526,0.07533951931440526,34000
35000,0.6535,17,0.0,0.1815948389577986,0.1815948389577986,0.0,0.01362832941234663,0.01362832941234663,35000
36000,0.6436,17,0.0,0.1815948389577986,0.1815948389577986,0.0,0.06911829920376576,0.06911829920376576,36000
