step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,avg_vae_recon_20ep,avg_vae_kl_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,current_ep_vae_recon,current_ep_vae_kl,replay_size
1000,0.9901,0,0.0,0.0,0.0,nan,nan,nan,0.0,0.2691309995673543,0.2691309995673543,0.0007064797100611031,0.0006581043708138168,0.04837532341480255,1000
2000,0.9802,0,0.0,0.0,0.0,nan,nan,nan,0.0,0.40480704265145184,0.40480704265145184,0.0005387984565459192,0.000518343411386013,0.020455049350857735,2000
3000,0.9703,1,0.0,0.41098699597890315,0.41098699597890315,0.0006418852135539055,0.0006230243016034365,0.018860891461372375,0.0,0.11017909666831349,0.11017909666831349,0.0003981098998337984,0.00038533922634087503,0.01277067605406046,3000
4000,0.9604,1,0.0,0.41098699597890315,0.41098699597890315,0.0006418852135539055,0.0006230243016034365,0.018860891461372375,0.0,0.21825320199485224,0.21825320199485224,0.0005159511929377913,0.0005048859748058021,0.011065199971199036,4000
5000,0.9505,2,0.0,0.3198723974921737,0.3198723974921737,0.0005876689392607659,0.0005732386489398777,0.014430283568799496,0.0,0.09495495886127776,0.09495495886127776,0.00048237701412290335,0.00047337962314486504,0.008997391909360886,5000
6000,0.9406,2,0.0,0.3198723974921737,0.3198723974921737,0.0005876689392607659,0.0005732386489398777,0.014430283568799496,0.0,0.19891799645326283,0.19891799645326283,0.0003631273575592786,0.0003546446387190372,0.008482716977596283,6000
7000,0.9307,3,0.0,0.2838356251982205,0.2838356251982205,0.0005813269720723232,0.0005690027610398829,0.012324203737080097,0.0,0.08649203220425891,0.08649203220425891,0.0005302277859300375,0.0005226165521889925,0.007611221633851528,7000
8000,0.9208,3,0.0,0.2838356251982205,0.2838356251982205,0.0005813269720723232,0.0005690027610398829,0.012324203737080097,0.0,0.1895411096313217,0.1895411096313217,0.0005352856242097914,0.000528009666595608,0.007275944575667381,8000
9000,0.9109,4,0.0,0.264574144506305,0.264574144506305,0.000572919991100207,0.0005618834838969633,0.011036504758521914,0.0,0.07870080487212539,0.07870080487212539,0.0005018366500735283,0.0004942400846630335,0.007596584968268871,9000
10000,0.901,4,0.0,0.264574144506305,0.264574144506305,0.000572919991100207,0.0005618834838969633,0.011036504758521914,0.0,0.17047899174895137,0.17047899174895137,0.0005231458926573396,0.000515921856276691,0.0072240084409713745,10000
