step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,avg_vae_recon_20ep,avg_vae_kl_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,current_ep_vae_recon,current_ep_vae_kl,replay_size
1000,0.99905,0,0.0,0.0,0.0,nan,nan,nan,0.0,1.9571850634823034,1.9571850634823034,nan,nan,nan,1000
2000,0.9981,0,0.0,0.0,0.0,nan,nan,nan,0.0,3.338509848833717,3.338509848833717,nan,nan,nan,2000
3000,0.99715,1,0.0,3.412652153439274,3.412652153439274,nan,nan,nan,0.0,1.2949760938287365,1.2949760938287365,nan,nan,nan,3000
4000,0.9962,1,0.0,3.412652153439274,3.412652153439274,nan,nan,nan,0.0,2.6973390400304424,2.6973390400304424,nan,nan,nan,4000
5000,0.99525,2,0.0,3.1319968959087996,3.1319968959087996,nan,nan,nan,0.0,1.2077886364102444,1.2077886364102444,nan,nan,nan,5000
6000,0.9943,2,0.0,3.1319968959087996,3.1319968959087996,nan,nan,nan,0.0,2.558846055195395,2.558846055195395,nan,nan,nan,6000
7000,0.99335,3,0.0,3.028175257898514,3.028175257898514,nan,nan,nan,0.0,1.1589733820321004,1.1589733820321004,nan,nan,nan,7000
8000,0.9924,3,0.0,3.028175257898514,3.028175257898514,nan,nan,nan,0.0,2.521703595338677,2.521703595338677,nan,nan,nan,8000
9000,0.99145,4,0.0,2.9747391176486575,2.9747391176486575,nan,nan,nan,0.0,1.0878431390535916,1.0878431390535916,nan,nan,nan,9000
10000,0.9905,4,0.0,2.9747391176486575,2.9747391176486575,nan,nan,nan,0.0,2.4245722391843207,2.4245722391843207,nan,nan,nan,10000
11000,0.98955,5,0.0,2.937096684589449,2.937096684589449,nan,nan,nan,0.0,0.9838723101594805,0.9838723101594805,nan,nan,nan,11000
12000,0.9886,5,0.0,2.937096684589449,2.937096684589449,nan,nan,nan,0.0,2.3053082504031877,2.3053082504031877,nan,nan,nan,12000
13000,0.98765,6,0.0,2.896072247376859,2.896072247376859,nan,nan,nan,0.0,1.0132067025170066,1.0132067025170066,nan,nan,nan,13000
14000,0.9867,6,0.0,2.896072247376859,2.896072247376859,nan,nan,nan,0.0,2.3354317509180955,2.3354317509180955,nan,nan,nan,14000
15000,0.98575,7,0.0,2.8798404925130114,2.8798404925130114,nan,nan,nan,0.0,0.8777968476154057,0.8777968476154057,nan,nan,nan,15000
16000,0.9848,7,0.0,2.8798404925130114,2.8798404925130114,nan,nan,nan,0.0,2.181053067781549,2.181053067781549,nan,nan,nan,16000
17000,0.98385,8,0.0,2.856955857835483,2.856955857835483,nan,nan,nan,0.0,0.8265910697024378,0.8265910697024378,nan,nan,nan,17000
18000,0.9829,8,0.0,2.856955857835483,2.856955857835483,nan,nan,nan,0.0,2.108001660952673,2.108001660952673,nan,nan,nan,18000
19000,0.98195,9,0.0,2.833107491390527,2.833107491390527,nan,nan,nan,0.0,0.7895842271242162,0.7895842271242162,nan,nan,nan,19000
20000,0.981,9,0.0,2.833107491390527,2.833107491390527,nan,nan,nan,0.0,2.064563490076533,2.064563490076533,nan,nan,nan,20000
21000,0.98005,10,0.0,2.817641339573374,2.817641339573374,nan,nan,nan,0.0,0.6574772099358176,0.6574772099358176,nan,nan,nan,21000
22000,0.9791,10,0.0,2.817641339573374,2.817641339573374,nan,nan,nan,0.0,1.8769912687503434,1.8769912687503434,nan,nan,nan,22000
23000,0.97815,11,0.0,2.7908516007032267,2.7908516007032267,nan,nan,nan,0.0,0.5802165079091772,0.5802165079091772,nan,nan,nan,23000
24000,0.9772,11,0.0,2.7908516007032267,2.7908516007032267,nan,nan,nan,0.0,1.735385512487537,1.735385512487537,nan,nan,nan,24000
25000,0.97625,12,0.0,2.761351785778338,2.761351785778338,nan,nan,nan,0.0,0.6007730754460404,0.6007730754460404,nan,nan,nan,25000
26000,0.9753000000000001,12,0.0,2.761351785778338,2.761351785778338,nan,nan,nan,0.0,1.7531234088323457,1.7531234088323457,nan,nan,nan,26000
27000,0.97435,13,0.0,2.7388518704463185,2.7388518704463185,nan,nan,nan,0.0,0.512587742489581,0.512587742489581,nan,nan,nan,27000
28000,0.9734,13,0.0,2.7388518704463185,2.7388518704463185,nan,nan,nan,0.0,1.6288204696471484,1.6288204696471484,nan,nan,nan,28000
