step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,replay_size
1000,0.9901,0,0.0,0.0,0.0,0.0,0.26958178577259717,0.26958178577259717,1000
2000,0.9802,0,0.0,0.0,0.0,0.0,0.404196681172954,0.404196681172954,2000
3000,0.9703,1,0.0,0.4104223608454702,0.4104223608454702,0.0,0.10884391456187065,0.10884391456187065,3000
4000,0.9604,1,0.0,0.4104223608454702,0.4104223608454702,0.0,0.21612647833585133,0.21612647833585133,4000
5000,0.9505,2,0.0,0.3184730156589155,0.3184730156589155,0.0,0.0951112625747715,0.0951112625747715,5000
6000,0.9406,2,0.0,0.3184730156589155,0.3184730156589155,0.0,0.19828117139114332,0.19828117139114332,6000
7000,0.9307,3,0.0,0.2826378758704601,0.2826378758704601,0.0,0.08621327323029275,0.08621327323029275,7000
8000,0.9208,3,0.0,0.2826378758704601,0.2826378758704601,0.0,0.1883232841145393,0.1883232841145393,8000
9000,0.9109,4,0.0,0.2634073974395509,0.2634073974395509,0.0,0.07845161657687792,0.07845161657687792,9000
10000,0.901,4,0.0,0.2634073974395509,0.2634073974395509,0.0,0.1692377254724221,0.1692377254724221,10000
11000,0.8911,5,0.0,0.24814066504258409,0.24814066504258409,0.0,0.06979184739461593,0.06979184739461593,11000
12000,0.8812,5,0.0,0.24814066504258409,0.24814066504258409,0.0,0.15278585596408667,0.15278585596408667,12000
13000,0.8713,6,0.0,0.23639206372058127,0.23639206372058127,0.0,0.06718620836189576,0.06718620836189576,13000
14000,0.8613999999999999,6,0.0,0.23639206372058127,0.23639206372058127,0.0,0.1512205719890439,0.1512205719890439,14000
15000,0.8515,7,0.0,0.22742605722849246,0.22742605722849246,0.0,0.06003102774653763,0.06003102774653763,15000
16000,0.8416,7,0.0,0.22742605722849246,0.22742605722849246,0.0,0.14115090295879118,0.14115090295879118,16000
17000,0.8317,8,0.0,0.22037277480204684,0.22037277480204684,0.0,0.05039449555032284,0.05039449555032284,17000
18000,0.8218,8,0.0,0.22037277480204684,0.22037277480204684,0.0,0.12390850218493177,0.12390850218493177,18000
19000,0.8119000000000001,9,0.0,0.2129669069850001,0.2129669069850001,0.0,0.04550092913857177,0.04550092913857177,19000
20000,0.802,9,0.0,0.2129669069850001,0.2129669069850001,0.0,0.12195777786312044,0.12195777786312044,20000
21000,0.7921,10,0.0,0.2070214720914297,0.2070214720914297,0.0,0.04027152462051972,0.04027152462051972,21000
22000,0.7822,10,0.0,0.2070214720914297,0.2070214720914297,0.0,0.11427941862995537,0.11427941862995537,22000
23000,0.7723,11,0.0,0.20167829701887555,0.20167829701887555,0.0,0.04081869441728618,0.04081869441728618,23000
24000,0.7624,11,0.0,0.20167829701887555,0.20167829701887555,0.0,0.11413655217470237,0.11413655217470237,24000
25000,0.7525,12,0.0,0.19729365812060226,0.19729365812060226,0.0,0.031577384077723585,0.031577384077723585,25000
26000,0.7425999999999999,12,0.0,0.19729365812060226,0.19729365812060226,0.0,0.09961532360518452,0.09961532360518452,26000
27000,0.7326999999999999,13,0.0,0.19277554327698757,0.19277554327698757,0.0,0.02979160433438102,0.02979160433438102,27000
28000,0.7228,13,0.0,0.19277554327698757,0.19277554327698757,0.0,0.09670403533506065,0.09670403533506065,28000
29000,0.7129000000000001,14,0.0,0.1886893291707619,0.1886893291707619,0.0,0.025204324144924028,0.025204324144924028,29000
30000,0.7030000000000001,14,0.0,0.1886893291707619,0.1886893291707619,0.0,0.08753429703270958,0.08753429703270958,30000
31000,0.6931,15,0.0,0.1848712772779718,0.1848712772779718,0.0,0.022720964392252452,0.022720964392252452,31000
32000,0.6832,15,0.0,0.1848712772779718,0.1848712772779718,0.0,0.08778701250843426,0.08778701250843426,32000
33000,0.6733,16,0.0,0.1815852952544483,0.1815852952544483,0.0,0.017616146497025895,0.017616146497025895,33000
34000,0.6634,16,0.0,0.1815852952544483,0.1815852952544483,0.0,0.07690408661775504,0.07690408661775504,34000
35000,0.6535,17,0.0,0.17818322842984305,0.17818322842984305,0.0,0.0157465597244869,0.0157465597244869,35000
