step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,replay_size
1000,0.99905,0,0.0,0.0,0.0,nan,0.0,0.08312215830337152,0.08312215830337152,0.0006389414775185287,1000
2000,0.9981,0,0.0,0.0,0.0,nan,0.0,6.96268617348273,6.96268617348273,0.0005667160730808973,2000
3000,0.99715,1,0.0,7.713275504811135,7.713275504811135,0.000737146707251668,0.0,8.431103021353541,8.431103021353541,0.0004926022375002503,3000
4000,0.9962,1,0.0,7.713275504811135,7.713275504811135,0.000737146707251668,0.0,19.71111051084204,19.71111051084204,0.0005830466980114579,4000
5000,0.99525,2,0.0,14.580238582607365,14.580238582607365,0.0006906215567141771,0.0,8.624672485928025,8.624672485928025,0.0005547172040678561,5000
6000,0.9943,2,0.0,14.580238582607365,14.580238582607365,0.0006906215567141771,0.0,19.10090632842814,19.10090632842814,0.00043560232734307647,6000
7000,0.99335,3,0.0,16.94378963951375,16.94378963951375,0.0006661626393906772,0.0,7.771753481394244,7.771753481394244,0.0005395498592406511,7000
8000,0.9924,3,0.0,16.94378963951375,16.94378963951375,0.0006661626393906772,0.0,19.260904241281178,19.260904241281178,0.0005608033970929682,8000
9000,0.99145,4,0.0,18.29386495891532,18.29386495891532,0.0006887598865432665,0.0,7.207944911064505,7.207944911064505,0.0005374717293307185,9000
10000,0.9905,4,0.0,18.29386495891532,18.29386495891532,0.0006887598865432665,0.0,18.04272653790659,18.04272653790659,0.0004327352799009532,10000
11000,0.98955,5,0.0,18.882589816328007,18.882589816328007,0.0006761666620150209,0.0,7.28025042992029,7.28025042992029,0.0005758871557191014,11000
12000,0.9886,5,0.0,18.882589816328007,18.882589816328007,0.0006761666620150209,0.0,17.94274768918554,17.94274768918554,0.0004791823448613286,12000
13000,0.98765,6,0.0,19.30095700230434,19.30095700230434,0.0006499166289965311,0.0,8.365364602690503,8.365364602690503,0.0005534035153687,13000
14000,0.9867,6,0.0,19.30095700230434,19.30095700230434,0.0006499166289965311,0.0,19.57509357475301,19.57509357475301,0.00044721379526890814,14000
15000,0.98575,7,0.0,20.035139914936945,20.035139914936945,0.0006522539188154042,0.0,7.081019240618774,7.081019240618774,0.0005626745405606925,15000
16000,0.9848,7,0.0,20.035139914936945,20.035139914936945,0.0006522539188154042,0.0,18.058386396985796,18.058386396985796,0.0005577332922257483,16000
17000,0.98385,8,0.0,20.46365112027241,20.46365112027241,0.0006519047456094995,0.0,4.8663729377455995,4.8663729377455995,0.0005223763873800635,17000
18000,0.9829,8,0.0,20.46365112027241,20.46365112027241,0.0006519047456094995,0.0,15.206376639725871,15.206376639725871,0.0004983490216545761,18000
19000,0.98195,9,0.0,20.448706630153506,20.448706630153506,0.0006338833740705417,0.0,6.595143874344656,6.595143874344656,0.00041909501305781305,19000
20000,0.981,9,0.0,20.448706630153506,20.448706630153506,0.0006338833740705417,0.0,17.592226558288512,17.592226558288512,0.00044810152030549943,20000
21000,0.98005,10,0.0,20.811923723388205,20.811923723388205,0.000627050461480394,0.0,5.032005727367306,5.032005727367306,0.0005331607535481453,21000
22000,0.9791,10,0.0,20.811923723388205,20.811923723388205,0.000627050461480394,0.0,15.360521273257172,15.360521273257172,0.0004899993073195219,22000
23000,0.97815,11,0.0,20.976756957147582,20.976756957147582,0.0006219390038908882,0.0,4.089991939434382,4.089991939434382,0.0005854121409356594,23000
24000,0.9772,11,0.0,20.976756957147582,20.976756957147582,0.0006219390038908882,0.0,15.282973607332947,15.282973607332947,0.0005105685559101403,24000
25000,0.97625,12,0.0,21.14643439566639,21.14643439566639,0.0006176423582170779,0.0,4.0142078741671945,4.0142078741671945,0.0005093376385048032,25000
26000,0.9753000000000001,12,0.0,21.14643439566639,21.14643439566639,0.0006176423582170779,0.0,15.055665607835541,15.055665607835541,0.0004599706153385341,26000
27000,0.97435,13,0.0,21.25839986581504,21.25839986581504,0.0006065102867208994,0.0,3.8232570116114837,3.8232570116114837,0.0005812146118842065,27000
28000,0.9734,13,0.0,21.25839986581504,21.25839986581504,0.0006065102867208994,0.0,14.937677302349792,14.937677302349792,0.0004550845187623054,28000
29000,0.97245,14,0.0,21.442357274534398,21.442357274534398,0.0006091611409958984,0.0,2.67954666743655,2.67954666743655,0.0004916456528007984,29000
30000,0.9715,14,0.0,21.442357274534398,21.442357274534398,0.0006091611409958984,0.0,13.274775622623528,13.274775622623528,0.0005370806320570409,30000
