step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,avg_vae_recon_20ep,avg_vae_kl_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,current_ep_vae_recon,current_ep_vae_kl,replay_size
1000,0.9901,0,0.0,0.0,0.0,nan,nan,nan,0.0,1.9929321877351367,1.9929321877351367,nan,nan,nan,1000
2000,0.9802,0,0.0,0.0,0.0,nan,nan,nan,0.0,3.5145299138238193,3.5145299138238193,nan,nan,nan,2000
3000,0.9703,1,0.0,3.5956852811639886,3.5956852811639886,nan,nan,nan,0.0,1.3108241140382704,1.3108241140382704,nan,nan,nan,3000
4000,0.9604,1,0.0,3.5956852811639886,3.5956852811639886,nan,nan,nan,0.0,2.7395586852548317,2.7395586852548317,nan,nan,nan,4000
5000,0.9505,2,0.0,3.246031587820343,3.246031587820343,nan,nan,nan,0.0,1.2311492931200756,1.2311492931200756,nan,nan,nan,5000
6000,0.9406,2,0.0,3.246031587820343,3.246031587820343,nan,nan,nan,0.0,2.6194998242541065,2.6194998242541065,nan,nan,nan,6000
7000,0.9307,3,0.0,3.1241069747051378,3.1241069747051378,nan,nan,nan,0.0,1.2287327317495136,1.2287327317495136,nan,nan,nan,7000
8000,0.9208,3,0.0,3.1241069747051378,3.1241069747051378,nan,nan,nan,0.0,2.584972835098664,2.584972835098664,nan,nan,nan,8000
9000,0.9109,4,0.0,3.0691561382576005,3.0691561382576005,nan,nan,nan,0.0,1.1184932441803048,1.1184932441803048,nan,nan,nan,9000
10000,0.901,4,0.0,3.0691561382576005,3.0691561382576005,nan,nan,nan,0.0,2.489706024202882,2.489706024202882,nan,nan,nan,10000
11000,0.8911,5,0.0,3.0276022610221593,3.0276022610221593,nan,nan,nan,0.0,1.0259412804316297,1.0259412804316297,nan,nan,nan,11000
12000,0.8812,5,0.0,3.0276022610221593,3.0276022610221593,nan,nan,nan,0.0,2.3195832302735577,2.3195832302735577,nan,nan,nan,12000
13000,0.8713,6,0.0,2.978062333688584,2.978062333688584,nan,nan,nan,0.0,0.9859457935133402,0.9859457935133402,nan,nan,nan,13000
14000,0.8613999999999999,6,0.0,2.978062333688584,2.978062333688584,nan,nan,nan,0.0,2.286583189676281,2.286583189676281,nan,nan,nan,14000
15000,0.8515,7,0.0,2.9417820030647923,2.9417820030647923,nan,nan,nan,0.0,0.9124777892709427,0.9124777892709427,nan,nan,nan,15000
16000,0.8416,7,0.0,2.9417820030647923,2.9417820030647923,nan,nan,nan,0.0,2.1947498459871326,2.1947498459871326,nan,nan,nan,16000
17000,0.8317,8,0.0,2.9087498380054493,2.9087498380054493,nan,nan,nan,0.0,0.8249455947973652,0.8249455947973652,nan,nan,nan,17000
