step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,avg_vae_recon_20ep,avg_vae_kl_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,current_ep_vae_recon,current_ep_vae_kl,replay_size
1000,0.99905,0,0.0,0.0,0.0,nan,nan,nan,0.0,0.26205278616881006,0.26205278616881006,0.000732511980459094,0.0006923213368281722,0.04019063711166382,1000
2000,0.9981,0,0.0,0.0,0.0,nan,nan,nan,0.0,0.39048190522512255,0.39048190522512255,0.0005606499616988003,0.0005417716456577182,0.018878309056162834,2000
3000,0.99715,1,0.0,0.3958013647183208,0.3958013647183208,0.0006386455497704446,0.0006204730016179383,0.01817256025969982,0.0,0.1079135924920507,0.1079135924920507,0.00048583518946543336,0.00047293660463765264,0.012898583896458149,3000
4000,0.9962,1,0.0,0.3958013647183208,0.3958013647183208,0.0006386455497704446,0.0006204730016179383,0.01817256025969982,0.0,0.21533602284211187,0.21533602284211187,0.0005990687059238553,0.0005892882472835481,0.00978043582290411,4000
5000,0.99525,2,0.0,0.31024699646057546,0.31024699646057546,0.0005825316766276956,0.0005689390818588436,0.013592610135674477,0.0,0.09625500195421183,0.09625500195421183,0.0005223974003456533,0.0005141599685885012,0.008237440139055252,5000
6000,0.9943,2,0.0,0.31024699646057546,0.31024699646057546,0.0005825316766276956,0.0005689390818588436,0.013592610135674477,0.0,0.19689243953998276,0.19689243953998276,0.0004854852450080216,0.00047780846944078803,0.007676772307604551,6000
7000,0.99335,3,0.0,0.27748642086301584,0.27748642086301584,0.0005785145719225208,0.0005669225938618183,0.011591990012675524,0.0,0.08295324105293889,0.08295324105293889,0.000468998565338552,0.0004617350932676345,0.007263477426022291,7000
8000,0.9924,3,0.0,0.27748642086301584,0.27748642086301584,0.0005785145719225208,0.0005669225938618183,0.011591990012675524,0.0,0.17782857604847252,0.17782857604847252,0.0004966075648553669,0.0004894832381978631,0.007124319206923246,8000
9000,0.99145,4,0.0,0.2566071993692481,0.2566071993692481,0.0005693664716091007,0.0005589157080976292,0.010450771078467369,0.0,0.07673340374707706,0.07673340374707706,0.0005194729892536998,0.0005126066971570253,0.006866282317787409,9000
10000,0.9905,4,0.0,0.2566071993692481,0.2566071993692481,0.0005693664716091007,0.0005589157080976292,0.010450771078467369,0.0,0.16631805666995586,0.16631805666995586,0.0005028815940022469,0.0004955397453159094,0.007341873832046986,10000
11000,0.98955,5,0.0,0.243083906621223,0.243083906621223,0.0005560277728363872,0.0005463154637254774,0.00971230948343873,0.0,0.06805512744134463,0.06805512744134463,0.00048382487148046494,0.00047721629380248487,0.006608585361391306,11000
12000,0.9886,5,0.0,0.243083906621223,0.243083906621223,0.0005560277728363872,0.0005463154637254774,0.00971230948343873,0.0,0.1558531139833763,0.1558531139833763,0.0004539293877314776,0.00044739237637259066,0.0065369983203709126,12000
13000,0.98765,6,0.0,0.23255131219090788,0.23255131219090788,0.0005439966771518812,0.0005347641417756677,0.009232535492628813,0.0,0.061051721231240155,0.061051721231240155,0.0005113946972414851,0.0005050140898674726,0.006380624137818813,13000
14000,0.9867,6,0.0,0.23255131219090788,0.23255131219090788,0.0005439966771518812,0.0005347641417756677,0.009232535492628813,0.0,0.14468167660079256,0.14468167660079256,0.0004529814177658409,0.0004464917874429375,0.006489638704806566,14000
15000,0.98575,7,0.0,0.22380352729983732,0.22380352729983732,0.0005468627662464444,0.0005380186900895621,0.008844076256666864,0.0,0.05472021619098528,0.05472021619098528,0.0005166237242519855,0.0005103297880850732,0.006293910089880228,15000
16000,0.9848,7,0.0,0.22380352729983732,0.22380352729983732,0.0005468627662464444,0.0005380186900895621,0.008844076256666864,0.0,0.13890282129377812,0.13890282129377812,0.0004993915208615363,0.000492985884193331,0.006405641324818134,16000
