step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,replay_size
1000,0.9901,0,0.0,0.0,0.0,0.0,158.18002784390336,158.18002784390336,1000
2000,0.9802,0,0.0,0.0,0.0,0.0,249.321228627473,249.321228627473,2000
3000,0.9703,1,0.0,252.9721962659196,252.9721962659196,0.0,89.30719364945242,89.30719364945242,3000
4000,0.9604,1,0.0,252.9721962659196,252.9721962659196,0.0,157.1807174306225,157.1807174306225,4000
5000,0.9505,2,0.0,207.75173688542338,207.75173688542338,0.0,84.48059353115462,84.48059353115462,5000
6000,0.9406,2,0.0,207.75173688542338,207.75173688542338,0.0,148.96263560037232,148.96263560037232,6000
7000,0.9307,3,0.0,190.77591136376748,190.77591136376748,0.0,57.17930959046385,57.17930959046385,7000
8000,0.9208,3,0.0,190.77591136376748,190.77591136376748,0.0,109.12534645954774,109.12534645954774,8000
9000,0.9109,4,0.0,172.6220561736083,172.6220561736083,0.0,41.56019532193271,41.56019532193271,9000
10000,0.901,4,0.0,172.6220561736083,172.6220561736083,0.0,91.08628168844875,91.08628168844875,10000
11000,0.8911,5,0.0,158.28773501479247,158.28773501479247,0.0,37.6441153646749,37.6441153646749,11000
12000,0.8812,5,0.0,158.28773501479247,158.28773501479247,0.0,79.97212254142757,79.97212254142757,12000
13000,0.8713,6,0.0,147.03396584158202,147.03396584158202,0.0,35.57209336079556,35.57209336079556,13000
14000,0.8613999999999999,6,0.0,147.03396584158202,147.03396584158202,0.0,75.14015096283211,75.14015096283211,14000
15000,0.8515,7,0.0,138.41234800357378,138.41234800357378,0.0,25.278396567642616,25.278396567642616,15000
16000,0.8416,7,0.0,138.41234800357378,138.41234800357378,0.0,60.35033761865316,60.35033761865316,16000
17000,0.8317,8,0.0,130.18540287462235,130.18540287462235,0.0,26.184429150222655,26.184429150222655,17000
18000,0.8218,8,0.0,130.18540287462235,130.18540287462235,0.0,61.58198184535608,61.58198184535608,18000
19000,0.8119000000000001,9,0.0,124.18130869608937,124.18130869608937,0.0,21.699805359028055,21.699805359028055,19000
20000,0.802,9,0.0,124.18130869608937,124.18130869608937,0.0,53.449468157800396,53.449468157800396,20000
21000,0.7921,10,0.1,118.81316675121965,118.81316675121965,0.0,19.70053617537574,19.70053617537574,21000
22000,0.7822,10,0.1,118.81316675121965,118.81316675121965,0.0,51.83575771952986,51.83575771952986,22000
23000,0.7723,11,0.09090909090909091,114.3352483558556,114.3352483558556,0.0,17.180803412775305,17.180803412775305,23000
24000,0.7624,11,0.09090909090909091,114.3352483558556,114.3352483558556,0.0,48.43198474115459,48.43198474115459,24000
25000,0.7525,12,0.08333333333333333,110.23673400706086,110.23673400706086,0.0,13.584673291603588,13.584673291603588,25000
26000,0.7425999999999999,12,0.08333333333333333,110.23673400706086,110.23673400706086,0.0,40.87291186224095,40.87291186224095,26000
27000,0.7326999999999999,13,0.07692307692307693,106.08362250890339,106.08362250890339,0.0,15.777818483474903,15.777818483474903,27000
28000,0.7228,13,0.07692307692307693,106.08362250890339,106.08362250890339,0.0,46.49321594953229,46.49321594953229,28000
29000,0.7129000000000001,14,0.07142857142857142,103.17360647591966,103.17360647591966,0.0,17.295355659943798,17.295355659943798,29000
30000,0.7030000000000001,14,0.07142857142857142,103.17360647591966,103.17360647591966,0.0,52.367532733278615,52.367532733278615,30000
