step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,replay_size
1000,0.9901,0,0.0,0.0,0.0,0.0,0.24870298289028547,0.24870298289028547,1000
2000,0.9802,0,0.0,0.0,0.0,0.0,0.3671819926576052,0.3671819926576052,2000
3000,0.9703,1,0.0,0.37250465834667446,0.37250465834667446,0.0,0.0992109201535477,0.0992109201535477,3000
4000,0.9604,1,0.0,0.37250465834667446,0.37250465834667446,0.0,0.19895328443235066,0.19895328443235066,4000
5000,0.9505,2,0.0,0.2903228708453368,0.2903228708453368,0.0,0.08728151966432487,0.08728151966432487,5000
6000,0.9406,2,0.0,0.2903228708453368,0.2903228708453368,0.0,0.18320336988224992,0.18320336988224992,6000
7000,0.9307,3,0.0,0.25920799939742095,0.25920799939742095,0.0,0.0813329395699698,0.0813329395699698,7000
8000,0.9208,3,0.0,0.25920799939742095,0.25920799939742095,0.0,0.17524797300112008,0.17524797300112008,8000
9000,0.9109,4,0.0,0.24267319485669359,0.24267319485669359,0.0,0.07427653467015388,0.07427653467015388,9000
10000,0.901,4,0.0,0.24267319485669359,0.24267319485669359,0.0,0.16276055380677096,0.16276055380677096,10000
11000,0.8911,5,0.0,0.23024395071619094,0.23024395071619094,0.0,0.06402188119145108,0.06402188119145108,11000
12000,0.8812,5,0.0,0.23024395071619094,0.23024395071619094,0.0,0.1498520393740714,0.1498520393740714,12000
13000,0.8713,6,0.0,0.22051992025934505,0.22051992025934505,0.0,0.0601908207809763,0.0601908207809763,13000
14000,0.8613999999999999,6,0.0,0.22051992025934505,0.22051992025934505,0.0,0.1354941073100472,0.1354941073100472,14000
15000,0.8515,7,0.0,0.211820543841131,0.211820543841131,0.0,0.055625714281458495,0.055625714281458495,15000
16000,0.8416,7,0.0,0.211820543841131,0.211820543841131,0.0,0.1301620744677575,0.1301620744677575,16000
17000,0.8317,8,0.0,0.20503887686027228,0.20503887686027228,0.0,0.048737946119148196,0.048737946119148196,17000
18000,0.8218,8,0.0,0.20503887686027228,0.20503887686027228,0.0,0.12279496191036474,0.12279496191036474,18000
19000,0.8119000000000001,9,0.0,0.19916746284018264,0.19916746284018264,0.0,0.04298242024440704,0.04298242024440704,19000
20000,0.802,9,0.0,0.19916746284018264,0.19916746284018264,0.0,0.11531166477453875,0.11531166477453875,20000
21000,0.7921,10,0.0,0.19406192615762075,0.19406192615762075,0.0,0.03665178825686617,0.03665178825686617,21000
22000,0.7822,10,0.0,0.19406192615762075,0.19406192615762075,0.0,0.10325131893590293,0.10325131893590293,22000
23000,0.7723,11,0.0,0.18890430761511398,0.18890430761511398,0.0,0.03587644944113196,0.03587644944113196,23000
24000,0.7624,11,0.0,0.18890430761511398,0.18890430761511398,0.0,0.10282424925043901,0.10282424925043901,24000
25000,0.7525,12,0.0,0.18475977796298448,0.18475977796298448,0.0,0.030050922825768114,0.030050922825768114,25000
26000,0.7425999999999999,12,0.0,0.18475977796298448,0.18475977796298448,0.0,0.09671534154703944,0.09671534154703944,26000
27000,0.7326999999999999,13,0.0,0.18055577280239216,0.18055577280239216,0.0,0.027509221462639285,0.027509221462639285,27000
28000,0.7228,13,0.0,0.18055577280239216,0.18055577280239216,0.0,0.08747081295731941,0.08747081295731941,28000
29000,0.7129000000000001,14,0.0,0.17666145861437535,0.17666145861437535,0.0,0.023462592493418404,0.023462592493418404,29000
30000,0.7030000000000001,14,0.0,0.17666145861437535,0.17666145861437535,0.0,0.082285194585382,0.082285194585382,30000
31000,0.6931,15,0.0,0.1731096774118702,0.1731096774118702,0.0,0.020299541474044166,0.020299541474044166,31000
32000,0.6832,15,0.0,0.1731096774118702,0.1731096774118702,0.0,0.07798494468563363,0.07798494468563363,32000
33000,0.6733,16,0.0,0.16966272701905172,0.16966272701905172,0.0,0.01736390615899597,0.01736390615899597,33000
34000,0.6634,16,0.0,0.16966272701905172,0.16966272701905172,0.0,0.07358055771745968,0.07358055771745968,34000
35000,0.6535,17,0.0,0.1664630253117191,0.1664630253117191,0.0,0.014249155156969234,0.014249155156969234,35000
36000,0.6436,17,0.0,0.1664630253117191,0.1664630253117191,0.0,0.06848159485331215,0.06848159485331215,36000
37000,0.6336999999999999,18,0.0,0.16358562744466515,0.16358562744466515,0.0,0.012287276666033119,0.012287276666033119,37000
38000,0.6238,18,0.0,0.16358562744466515,0.16358562744466515,0.0,0.06823715948573127,0.06823715948573127,38000
39000,0.6139,19,0.0,0.16086995950810834,0.16086995950810834,0.0,0.010807670284023107,0.010807670284023107,39000
40000,0.604,19,0.0,0.16086995950810834,0.16086995950810834,0.0,0.06427722306018432,0.06427722306018432,40000
41000,0.5941000000000001,20,0.0,0.15828989108961644,0.15828989108961644,0.0,0.006010598793542632,0.006010598793542632,41000
42000,0.5842,20,0.0,0.15828989108961644,0.15828989108961644,0.0,0.05609258591748364,0.05609258591748364,42000
43000,0.5743,21,0.0,0.14480026700443557,0.14480026700443557,0.0,0.0038388889370104045,0.0038388889370104045,43000
44000,0.5644,21,0.0,0.14480026700443557,0.14480026700443557,0.0,0.05280970758585477,0.05280970758585477,44000
45000,0.5545,22,0.0,0.13944174892489908,0.13944174892489908,0.0,0.0019667624778956522,0.0019667624778956522,45000
46000,0.5446,22,0.0,0.13944174892489908,0.13944174892489908,0.0,0.04776813476944179,0.04776813476944179,46000
47000,0.5347,23,0.0,0.1342679882801815,0.1342679882801815,0.0,0.0,0.0,47000
48000,0.5248,23,0.0,0.1342679882801815,0.1342679882801815,0.0,0.048450086028837935,0.048450086028837935,48000
49000,0.5149,23,0.0,0.1342679882801815,0.1342679882801815,0.0,0.0964281848563883,0.0964281848563883,49000
50000,0.505,24,0.0,0.12954978595367922,0.12954978595367922,0.0,0.045652164771283296,0.045652164771283296,50000
51000,0.4951,24,0.0,0.12954978595367922,0.12954978595367922,0.0,0.09105640093578374,0.09105640093578374,50000
52000,0.48519999999999996,25,0.0,0.1252925437109892,0.1252925437109892,1.0,0.04273490803271157,0.04273490803271157,50000
53000,0.47529999999999994,25,0.0,0.1252925437109892,0.1252925437109892,1.0,0.08882742066918299,0.08882742066918299,50000
54000,0.4653999999999999,26,0.05,0.12146143579801882,0.12146143579801882,1.0,0.04083821909962335,0.04083821909962335,50000
55000,0.4555,26,0.05,0.12146143579801882,0.12146143579801882,3.0,0.08472225545279279,0.08472225545279279,50000
56000,0.4456,27,0.2,0.11811568756036954,0.11811568756036954,0.0,0.03554283702821211,0.03554283702821211,50000
57000,0.4357000000000001,27,0.2,0.11811568756036954,0.11811568756036954,1.0,0.08366523939291745,0.08366523939291745,50000
58000,0.42580000000000007,28,0.25,0.1149136992545132,0.1149136992545132,2.0,0.035495419895234005,0.035495419895234005,50000
59000,0.41590000000000005,28,0.25,0.1149136992545132,0.1149136992545132,3.0,0.0786017371311078,0.0786017371311078,50000
60000,0.406,29,0.4,0.11183889410792466,0.11183889410792466,0.0,0.032299531289826496,0.032299531289826496,50000
61000,0.3961,29,0.4,0.11183889410792466,0.11183889410792466,1.0,0.07361739128465322,0.07361739128465322,50000
62000,0.3862,30,0.5,0.10881438709369491,0.10881438709369491,2.0,0.028545341470299187,0.028545341470299187,50000
63000,0.37629999999999997,30,0.5,0.10881438709369491,0.10881438709369491,2.0,0.07010689086318633,0.07010689086318633,50000
64000,0.36639999999999995,31,0.65,0.10621860851508205,0.10621860851508205,1.0,0.027161042788481905,0.027161042788481905,50000
65000,0.35650000000000004,31,0.65,0.10621860851508205,0.10621860851508205,5.0,0.06979674878409162,0.06979674878409162,50000
66000,0.3466,32,1.1,0.10356105784189658,0.10356105784189658,3.0,0.025293368337306648,0.025293368337306648,50000
67000,0.3367,32,1.1,0.10356105784189658,0.10356105784189658,7.0,0.06654648633761459,0.06654648633761459,50000
68000,0.3268,33,1.6,0.10135348946625686,0.10135348946625686,3.0,0.023525465229006084,0.023525465229006084,50000
69000,0.31690000000000007,33,1.6,0.10135348946625686,0.10135348946625686,11.0,0.06489788502873386,0.06489788502873386,50000
70000,0.30700000000000005,34,2.35,0.09925527097729477,0.09925527097729477,4.0,0.022564539523744296,0.022564539523744296,50000
71000,0.29710000000000003,34,2.35,0.09925527097729477,0.09925527097729477,11.0,0.06362026626648384,0.06362026626648384,50000
